,temp,rain,production,futures,rust
246,26.1067,245.532,3063.42,1.226,8.0
247,26.1067,245.532,3063.42,1.1995,8.0
248,26.1067,245.532,3063.42,1.0655,8.0
249,26.1067,245.532,3063.42,1.058,8.0
250,25.9065,255.08599999999998,3964.83,1.165,8.0
251,25.9065,255.08599999999998,3964.83,1.1755,8.0
252,25.9065,255.08599999999998,3964.83,1.1575,8.0
253,25.9065,255.08599999999998,3964.83,1.1285,8.0
254,25.8022,212.125,2609.17,0.634,8.0
255,25.8022,212.125,2609.17,0.638,8.0
256,25.8022,212.125,2609.17,0.674,8.0
257,25.8022,212.125,2609.17,0.6985,8.0
258,25.8022,212.125,2609.17,0.642,8.0
259,25.9703,272.975,2613.75,0.4735,8.0
260,25.9703,272.975,2613.75,0.5085,8.0
261,25.9703,272.975,2613.75,0.5025,8.0
262,25.9703,272.975,2613.75,0.46799999999999997,8.0
263,25.9703,272.975,2613.75,0.447,8.0
264,26.3988,214.46400000000003,4029.33,0.6165,8.0
265,26.3988,214.46400000000003,4029.33,0.627,8.0
266,26.3988,214.46400000000003,4029.33,0.6585,8.0
267,26.3988,214.46400000000003,4029.33,0.682,8.0
268,26.3988,214.46400000000003,4029.33,0.6395,8.0
269,26.1081,267.688,2406.08,0.6859999999999999,8.0
270,26.1081,267.688,2406.08,0.708,8.0
271,26.1081,267.688,2406.08,0.708,8.0
272,26.1081,267.688,2406.08,0.7735,8.0
273,26.5366,212.477,2744.42,1.0859999999999999,8.0
274,26.5366,212.477,2744.42,1.1909999999999998,8.0
275,26.5366,212.477,2744.42,1.238,8.0
276,26.5366,212.477,2744.42,1.224,8.0
277,26.5366,212.477,2744.42,1.182,8.0
278,26.843000000000004,117.42200000000001,4207.5,1.291,8.0
279,26.843000000000004,117.42200000000001,4207.5,1.1455,8.0
280,26.843000000000004,117.42200000000001,4207.5,1.1325,8.0
281,26.843000000000004,117.42200000000001,4207.5,1.126,8.0
282,26.843000000000004,117.42200000000001,4207.5,1.122,8.0
283,26.0212,227.673,2349.33,1.5575,9.0
284,26.0212,227.673,2349.33,1.5685,9.0
285,26.0212,227.673,2349.33,1.6525,9.0
286,26.0212,227.673,2349.33,1.6915,9.0
287,26.0443,215.18099999999998,3063.42,1.0555,9.0
288,26.0443,215.18099999999998,3063.42,1.04,9.0
289,26.0443,215.18099999999998,3063.42,1.0095,9.0
290,26.0443,215.18099999999998,3063.42,1.028,9.0
291,25.7341,262.415,3964.83,1.1165,9.0
292,25.7341,262.415,3964.83,1.0855,9.0
293,25.7341,262.415,3964.83,1.058,9.0
294,25.7341,262.415,3964.83,1.032,9.0
295,25.7341,262.415,3964.83,1.003,9.0
296,26.1029,210.46599999999998,2609.17,0.647,9.0
297,26.1029,210.46599999999998,2609.17,0.62,9.0
298,26.1029,210.46599999999998,2609.17,0.615,9.0
299,26.1029,210.46599999999998,2609.17,0.6285,9.0
300,26.0612,212.28799999999998,2613.75,0.4545,9.0
301,26.0612,212.28799999999998,2613.75,0.4455,9.0
302,26.0612,212.28799999999998,2613.75,0.441,9.0
303,26.0612,212.28799999999998,2613.75,0.48,9.0
304,26.4573,232.662,4029.33,0.6615,9.0
305,26.4573,232.662,4029.33,0.6679999999999999,9.0
306,26.4573,232.662,4029.33,0.6115,9.0
307,26.4573,232.662,4029.33,0.6,9.0
308,25.7854,270.303,2406.08,0.7495,9.0
309,25.7854,270.303,2406.08,0.715,9.0
310,25.7854,270.303,2406.08,0.743,9.0
311,25.7854,270.303,2406.08,0.6975,9.0
312,26.026999999999997,202.0,4250.0,1.2395,9.0
313,26.026999999999997,202.0,4250.0,1.203,9.0
314,26.026999999999997,202.0,4250.0,1.1875,9.0
315,26.026999999999997,202.0,4250.0,1.19,9.0
316,26.026999999999997,202.0,4250.0,1.1815,9.0
317,25.3478,169.34799999999998,2883.58,0.6779999999999999,11.0
318,25.3478,169.34799999999998,2883.58,0.6195,11.0
319,25.3478,169.34799999999998,2883.58,0.725,11.0
320,25.3478,169.34799999999998,2883.58,0.7001,11.0
321,25.3478,169.34799999999998,2883.58,0.7278,11.0
322,26.275,226.571,2744.42,1.1725,12.0
323,26.275,226.571,2744.42,1.1345,12.0
324,26.275,226.571,2744.42,1.078,12.0
325,26.275,226.571,2744.42,1.095,12.0
326,25.643,260.878,2273.83,0.8805,15.0
327,25.643,260.878,2273.83,0.9045,15.0
328,25.643,260.878,2273.83,0.861,15.0
329,25.643,260.878,2273.83,0.867,15.0
330,25.643,260.878,2273.83,0.8315,15.0
331,25.7505,66.9051,1505.0,1.5115,15.0
332,25.7505,66.9051,1505.0,1.3685,15.0
333,25.7505,66.9051,1505.0,1.2975,15.0
334,25.7505,66.9051,1505.0,1.256,15.0
335,25.7505,66.9051,1505.0,1.1725,15.0
336,25.7172,78.6213,3063.42,1.136,16.0
337,25.7172,78.6213,3063.42,1.1565,16.0
338,25.7172,78.6213,3063.42,1.046,16.0
339,25.7172,78.6213,3063.42,1.0285,16.0
340,25.7172,78.6213,3063.42,1.057,16.0
341,25.5916,83.7153,3964.83,0.9425,16.0
342,25.5916,83.7153,3964.83,0.9079999999999999,16.0
343,25.5916,83.7153,3964.83,0.845,16.0
344,25.5916,83.7153,3964.83,0.818,16.0
345,25.5916,83.7153,3964.83,0.867,16.0
346,25.1845,108.85,2609.17,0.8035,16.0
347,25.1845,108.85,2609.17,0.823,16.0
348,25.1845,108.85,2609.17,0.8125,16.0
349,25.1845,108.85,2609.17,0.78,16.0
350,25.1845,108.85,2609.17,0.83,16.0
351,25.6916,87.8372,2613.75,0.5105,16.0
352,25.6916,87.8372,2613.75,0.5085,16.0
353,25.6916,87.8372,2613.75,0.4915,16.0
354,25.689,72.054,4029.33,0.5585,16.0
355,25.689,72.054,4029.33,0.5995,16.0
356,25.689,72.054,4029.33,0.617,16.0
357,25.689,72.054,4029.33,0.5485,16.0
358,25.5222,84.83,2406.08,0.637,16.0
359,25.5222,84.83,2406.08,0.7085,16.0
360,25.5222,84.83,2406.08,0.626,16.0
361,25.5222,84.83,2406.08,0.642,16.0
362,25.5222,84.83,2406.08,0.629,16.0
363,26.1044,256.832,2744.42,1.1405,16.0
364,26.1044,256.832,2744.42,1.0865,16.0
365,26.1044,256.832,2744.42,1.0875,16.0
366,26.1044,256.832,2744.42,1.0415,16.0
367,26.1044,256.832,2744.42,1.0435,16.0
368,24.2316,54.1944,4207.5,1.5535,16.0
369,24.2316,54.1944,4207.5,1.4240000000000002,16.0
370,24.2316,54.1944,4207.5,1.4069999999999998,16.0
371,24.2316,54.1944,4207.5,1.3745,16.0
372,24.2316,54.1944,4207.5,1.364,16.0
373,25.2559,55.0211,4207.5,1.4015,16.0
374,25.2559,55.0211,4207.5,1.358,16.0
375,25.2559,55.0211,4207.5,1.3285,16.0
376,25.2559,55.0211,4207.5,1.4025,16.0
377,25.2559,55.0211,4207.5,1.4498,16.0
378,26.0047,234.8,4207.5,1.119,16.0
379,26.0047,234.8,4207.5,1.0985,16.0
380,26.0047,234.8,4207.5,1.111,16.0
381,26.0047,234.8,4207.5,1.0745,16.0
382,26.0047,234.8,4207.5,1.0755,16.0
383,25.785999999999998,244.21099999999998,4207.5,1.109,16.0
384,25.785999999999998,244.21099999999998,4207.5,1.169,16.0
385,25.785999999999998,244.21099999999998,4207.5,1.158,16.0
386,25.785999999999998,244.21099999999998,4207.5,1.1965,16.0
387,25.785999999999998,244.21099999999998,4207.5,1.189,16.0
388,25.7919,239.898,4207.5,1.1975,16.0
389,25.7919,239.898,4207.5,1.214,16.0
390,25.7919,239.898,4207.5,1.1035,16.0
391,25.7919,239.898,4207.5,1.1085,16.0
392,26.0315,258.226,4207.5,1.057,16.0
393,26.0315,258.226,4207.5,1.063,16.0
394,26.0315,258.226,4207.5,1.1075,16.0
395,26.0315,258.226,4207.5,1.175,16.0
396,26.0315,258.226,4207.5,1.13,16.0
397,25.4516,203.40599999999998,3664.75,1.145,16.0
398,25.4516,203.40599999999998,3664.75,1.182,16.0
399,25.4516,203.40599999999998,3664.75,1.157,16.0
400,25.4516,203.40599999999998,3664.75,1.1695,16.0
401,25.4516,203.40599999999998,3664.75,1.1632,16.0
402,24.7343,142.90200000000002,3664.75,1.204,16.0
403,24.7343,142.90200000000002,3664.75,1.2670000000000001,16.0
404,24.7343,142.90200000000002,3664.75,1.278,16.0
405,24.7343,142.90200000000002,3664.75,1.35,16.0
406,24.7343,142.90200000000002,3664.75,1.374,16.0
407,23.4664,100.96700000000001,3664.75,1.4225,16.0
408,23.4664,100.96700000000001,3664.75,1.3005,16.0
409,23.4664,100.96700000000001,3664.75,1.2135,16.0
410,23.4664,100.96700000000001,3664.75,1.177,16.0
411,23.4664,100.96700000000001,3664.75,1.1929,16.0
412,24.185,73.1322,3664.75,1.1905,16.0
413,24.185,73.1322,3664.75,1.1520000000000001,16.0
414,24.185,73.1322,3664.75,1.1795,16.0
415,24.185,73.1322,3664.75,1.2009999999999998,16.0
